iter,noise,n_samples,model,r2
4,5,3010,LR,0.1816141301086992
4,5,3010,XGB,-0.013007879477159978
4,5,3210,CPF,0.14714252025992736
4,5,3210,RF,0.11085613869103572
4,5,3210,LR,0.18245312086749133
4,5,3210,XGB,-0.029119561103623903
4,5,3410,CPF,0.15008052181564346
4,5,3410,RF,0.12115428544618823
4,5,3410,LR,0.1834793343568808
4,5,3410,XGB,-0.002566323731615805
4,5,3610,CPF,0.15360534392491298
4,5,3610,RF,0.12913894240049006
4,5,3610,LR,0.18239181593444898
4,5,3610,XGB,-0.027027812622116842
4,5,3810,CPF,0.1565147622549119
4,5,3810,RF,0.12299896754684003
4,5,3810,LR,0.18346749028574993
4,5,3810,XGB,0.008007868620272807
4,5,4010,CPF,0.1536810345857068
4,5,4010,RF,0.11827429106921061
4,5,4010,LR,0.1842614999137273
4,5,4010,XGB,-0.033925139877361454
4,5,4210,CPF,0.15396527487833733
4,5,4210,RF,0.12564220349600763
4,5,4210,LR,0.1856776617659981
4,5,4210,XGB,-0.02750009677534515
4,5,4410,CPF,0.15602890948826942
4,5,4410,RF,0.12901461645757262
4,5,4410,LR,0.18684132320309044
4,5,4410,XGB,0.003951291933073864
4,5,4610,CPF,0.15738933704901525
4,5,4610,RF,0.1321194537384569
4,5,4610,LR,0.18792005930822164
4,5,4610,XGB,-0.020065541583539126
4,5,4810,CPF,0.15109233528008392
4,5,4810,RF,0.13572128604152878
4,5,4810,LR,0.18847252025910077
4,5,4810,XGB,-0.012005874021251195
4,5,5010,CPF,0.15489181350194992
4,5,5010,RF,0.13354290297690463
4,5,5010,LR,0.1884711527319891
4,5,5010,XGB,-0.0009021972139839907
4,5,5210,CPF,0.1579999241975174
4,5,5210,RF,0.13093612570111623
4,5,5210,LR,0.18916352025451222
4,5,5210,XGB,-0.022659261627850036
4,5,5410,CPF,0.15357046211342418
4,5,5410,RF,0.12824708497260395
4,5,5410,LR,0.18844683425398367
4,5,5410,XGB,-0.0016535757693327824
4,5,5610,CPF,0.15737258094235418
4,5,5610,RF,0.1370866622369601
4,5,5610,LR,0.18759810647885733
4,5,5610,XGB,-0.008757255836076228
4,5,5810,CPF,0.15798345532589475
4,5,5810,RF,0.13954613635377844
4,5,5810,LR,0.1883520977813785
4,5,5810,XGB,0.017341716713061173
4,5,6010,CPF,0.1546327949641707
4,5,6010,RF,0.14092486009909289
4,5,6010,LR,0.19033266478189959
4,5,6010,XGB,-0.00852978195552967
