id,name,n_samples,n_features,rows_removed,cols_removed,fold,model,r2,mse,mae,fit_duration,predict_duration,max_depth,df_setting,alpha
pmlb_574,house_16H,22784,16,0,0,3,CPILOT - df alpha = 0.01 - max_depth = 6,0.46762980845974056,1329097229.7205904,11293.591108032313,2.3253629207611084,0.0005848407745361328,6.0,"{'con': 1.0, 'lin': 1.01, 'pcon': 1.04, 'blin': 1.04, 'plin': 1.06, 'pconc': 1.04}",0.01
pmlb_574,house_16H,22784,16,0,0,3,CPILOT - df alpha = 0.01 - max_depth = 20,0.25879696502351546,1850462171.064739,9727.751174655721,8.515331029891968,0.00588226318359375,20.0,"{'con': 1.0, 'lin': 1.01, 'pcon': 1.04, 'blin': 1.04, 'plin': 1.06, 'pconc': 1.04}",0.01
pmlb_574,house_16H,22784,16,0,0,3,CPILOT - df alpha = 0.01 - max_depth = None,0.24100664128576987,1894876885.433438,11499.293078825547,11.174378871917725,0.012771129608154297,,"{'con': 1.0, 'lin': 1.01, 'pcon': 1.04, 'blin': 1.04, 'plin': 1.06, 'pconc': 1.04}",0.01
pmlb_574,house_16H,22784,16,0,0,3,CPILOT - default df - max_depth = 6,0.42760331495711257,1429026005.7398784,11309.442625671618,2.6521220207214355,0.00047779083251953125,6.0,"{'con': 1, 'lin': 2, 'pcon': 5, 'blin': 5, 'plin': 7, 'pconc': 5}",1.0
pmlb_574,house_16H,22784,16,0,0,3,CPILOT - default df - max_depth = 20,0.4477666358060316,1378686947.8660135,9297.050682627589,6.271629095077515,0.0009679794311523438,20.0,"{'con': 1, 'lin': 2, 'pcon': 5, 'blin': 5, 'plin': 7, 'pconc': 5}",1.0
pmlb_574,house_16H,22784,16,0,0,3,CPILOT - default df - max_depth = None,0.4477666358060316,1378686947.8660135,9297.050682627589,6.284881114959717,0.0010020732879638672,,"{'con': 1, 'lin': 2, 'pcon': 5, 'blin': 5, 'plin': 7, 'pconc': 5}",1.0
pmlb_574,house_16H,22784,16,0,0,3,CPILOT - df alpha = 0.5 - max_depth = 6,0.4022457176142562,1492332916.8260374,11009.527725504582,2.446413993835449,0.0005099773406982422,6.0,"{'con': 1.0, 'lin': 1.5, 'pcon': 3.0, 'blin': 3.0, 'plin': 4.0, 'pconc': 3.0}",0.5
pmlb_574,house_16H,22784,16,0,0,3,CPILOT - df alpha = 0.5 - max_depth = 20,0.29189161193873026,1767839206.3823397,9007.623272147663,8.167675018310547,0.002588987350463867,20.0,"{'con': 1.0, 'lin': 1.5, 'pcon': 3.0, 'blin': 3.0, 'plin': 4.0, 'pconc': 3.0}",0.5
pmlb_574,house_16H,22784,16,0,0,3,CPILOT - df alpha = 0.5 - max_depth = None,0.29122216101286647,1769510534.689481,9052.73718528543,8.314412593841553,0.002729177474975586,,"{'con': 1.0, 'lin': 1.5, 'pcon': 3.0, 'blin': 3.0, 'plin': 4.0, 'pconc': 3.0}",0.5
pmlb_574,house_16H,22784,16,0,0,4,CART - max_depth = 6,0.4061905498351326,1761029385.1997972,9905.713490959668,0.08338093757629395,0.0006010532379150391,6.0,,
pmlb_574,house_16H,22784,16,0,0,4,CART - max_depth = 20,0.2393252079295799,2255893133.807204,8900.0,0.18460798263549805,0.0010852813720703125,20.0,,
pmlb_574,house_16H,22784,16,0,0,4,CART - max_depth = None,0.21475331286610466,2328764707.75203,9501.0,0.19703412055969238,0.0012631416320800781,,,
pmlb_574,house_16H,22784,16,0,0,4,CPILOT - df alpha = 0.01 - max_depth = 6,0.4755784098472162,1555249466.3664358,10054.726227561012,2.320316791534424,0.0005481243133544922,6.0,"{'con': 1.0, 'lin': 1.01, 'pcon': 1.04, 'blin': 1.04, 'plin': 1.06, 'pconc': 1.04}",0.01
